Clase;Lote;Fecha_de_Creacion;UMB;Centro;Desc_Centro;Almacen;Desc_Alm;Material;Desc_Mat;Vol_Util;Vol_Tran;Bloqueado;Jerarquia;Desc_Jer;Grpo_Art;Descrip_Grpo_Art;Clasedevaloracion;M3;STATUS;NRO_ENTREGA;POS_ENTREGA;FCH_CREACION;DEFECTO;ESP_REAL_MM;ANC_REAL_MM
TA_PLYWOOD;1001554993;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975578;000001;;;;;
TA_PLYWOOD;1001554990;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975578;000001;;;;;
TA_PLYWOOD;1001554972;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;0.000;2.893;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984000;000001;;;;;
TA_PLYWOOD;1001554971;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;0.000;2.893;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984000;000001;;;;;
TA_PLYWOOD;1001554937;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975578;000001;;;;;
TA_PLYWOOD;1001554935;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975578;000001;;;;;
TA_PLYWOOD;1001554934;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;0.000;2.893;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988959;000001;;;;;
TA_PLYWOOD;1001554933;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;0.000;2.893;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988959;000001;;;;;
TA_PLYWOOD;1001554932;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975578;000001;;;;;
TA_PLYWOOD;1001554930;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975578;000001;;;;;
TA_PLYWOOD;1001390380;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802936284;000002;;;;;
TA_PLYWOOD;1001390388;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802931170;000005;;;;;
TA_PLYWOOD;1001390499;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802936284;000002;;;;;
TA_PLYWOOD;1001396155;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802931170;000005;;;;;
TA_PLYWOOD;1001396329;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802931170;000005;;;;;
TA_PLYWOOD;1001396445;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802931170;000005;;;;;
TA_PLYWOOD;1001396453;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802931170;000005;;;;;
TA_PLYWOOD;1001402570;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802936284;000002;;;;;
TA_PLYWOOD;1001552752;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001552754;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001552756;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001552792;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001552796;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001552799;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001552803;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001553036;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001553037;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001553040;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001553042;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001553043;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001553045;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001553201;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001553202;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001554391;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001554392;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001554393;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001554397;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001552750;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
