Nave,Eta,Doc.Entrega,Pos.Entrega,VOLUM_ENTREGA,UMV,Material,FPE,FPAN,Status Movimiento de Mcía,Descripcion Material
MSC ROMANOS,2013-01-14,802916856,3,8.262,M3,735042,2012-12-29,2013-01-13,A,MOL CASING 387A PP KH 5185x83x25-2U
MSC LISA,2012-12-29,802916864,1,16.128,M3,720253,2012-12-29,2012-12-26,C,MOL CASING 32A PP KH 5185x64x15
MSC LISA,2012-12-29,802916864,2,25.44,M3,783532,2012-12-29,2012-12-26,C,MOL BASE 26A PP KH 4880x133x14/HC350
MSC KYOTO,2012-12-27,802917012,1,8.196,M3,504644,2013-01-01,2012-12-25,C,MOL CROWN 40 COV PP US 4880x108x18
MSC KYOTO,2012-12-27,802917012,2,26.991,M3,505039,2013-01-01,2012-12-25,C,MOL SPBASE 610 PP 4880x133x15
MSC KYOTO,2012-12-27,802917017,1,17.994,M3,505039,2013-01-01,2012-12-25,C,MOL SPBASE 610 PP 4880x133x15
MSC KYOTO,2012-12-27,802917017,2,16.968,M3,505046,2013-01-01,2012-12-25,C,MOL SPBASE 611 PP 4880x184x15
MSC KYOTO,2012-12-27,802917019,1,36.78,M3,724115,2012-12-24,2012-12-22,C,"MOL BASE M0737K PP M&M 4880x133,5x14"
MSC KYOTO,2012-12-27,802917021,1,36.78,M3,724115,2012-12-24,2012-12-24,C,"MOL BASE M0737K PP M&M 4880x133,5x14"
MSC KYOTO,2012-12-27,802917024,1,45.078,M3,769385,2012-12-24,2012-12-24,C,MOL CROWN 48M PP M&M 4880x108x12/HC648
MSC ELA,2012-12-21,802917028,1,43.824,M3,743108,2012-12-24,2012-12-14,C,MOL CROWN 48M PP M&M 4880x108x14
MSC LISA,2012-12-29,802917030,1,40.368,M3,685300,2012-12-27,2012-12-26,C,MOL BASE 316 PP EE 4880x114x14
MSC KYOTO,2012-12-27,802917034,1,11.166,M3,742031,2012-12-22,2012-12-22,C,MOL CASING 356 PP M&M 2159x57x14
MSC KYOTO,2012-12-27,802917034,2,25.352,M3,503910,2012-12-22,2012-12-22,C,MOL BASE 623 PP M&M 4880x82x12
MSC GENEVA,2013-01-07,802917038,1,34.29,M3,716307,2012-12-29,2013-01-09,C,MOL BASE 494 PP M&M 5185x82x12
